Keyword	Avg Monthly Volume	Competition	CPC Low	CPC High	YoY Change	Intent	Silo Assignment	Source Batch
guttering repairs near me	500	High	5.03	29.46	0%	T/L	Gutter Services	Batch 4 - Head Terms
eavestrough cleaning near me	500	Medium	3.83	15.12	0%	T/L		Batch 4 - Head Terms
gutter washing near me	500	Medium	3.83	15.12	0%	T/L	Gutter Services	Batch 4 - Head Terms
glass cleaners near me	500	Low	1.35	9.23	0%	T/L	Window Cleaning	Batch 4 - Head Terms
cleaning windows near me	500	Low	1.35	9.23	0%	T/L	Window Cleaning	Batch 4 - Head Terms
soft washing conway ar	50	Unknown			0%	T/L	Soft Washing	Batch 1 - Conway
window cleaning conway ar	50	Unknown			0%	T/L	Window Cleaning	Batch 1 - Conway
gutter cleaning conway ar	50	High	2.74	24.31	0%	T/L	Gutter Services	Batch 1 - Conway
conway ar pressure washing	50	Unknown			-100%	T/L	Pressure Washing	Batch 1 - Conway
pressure washing little rock ar	50	Medium			0%	T/L	Pressure Washing	Batch 2 - Little Rock
soft washing little rock ar	50	Unknown			0%	T/L	Soft Washing	Batch 2 - Little Rock
roof cleaning little rock ar	50	Unknown			-100%	T/L	Roof Cleaning	Batch 2 - Little Rock
window cleaning little rock ar	50	Medium	3.02	10.00	0%	T/L	Window Cleaning	Batch 2 - Little Rock
concrete cleaning little rock ar	50	Unknown			0%	T/L	Concrete Cleaning	Batch 2 - Little Rock
house washing little rock ar	50	Unknown			0%	T/L	Soft Washing	Batch 2 - Little Rock
parking deck cleaning	50	Unknown			0%	T	Deck & Fence	Batch 3 - New Commercial
commercial dryer vent cleaning	50	High			∞	T	Dryer Vent Cleaning	Batch 3 - New Commercial
apartment dryer vent cleaning	50	Low			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
permanent outdoor lighting	50	High	0.29	1.60	0%	T	Permanent Lighting	Batch 3 - New Commercial
professional dryer vent cleaning	50	High			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
govee rgbic led permanent outdoor lights	50	Unknown			-100%	N	Permanent Lighting	Batch 3 - New Commercial
govee outdoor permanent lights	50	High			0%	N	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor christmas lights	50	Medium			0%	T	Holiday Lighting	Batch 3 - New Commercial
permanent led christmas lights	50	Unknown			-100%	T	Holiday Lighting	Batch 3 - New Commercial
commercial hot water pressure washer	50	High			0%	T	Industrial	Batch 3 - New Commercial
permanent outdoor lights govee	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
outdoor permanent lights	50	High	0.38	2.05	0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor holiday lights	50	Medium			0%	T	Holiday Lighting	Batch 3 - New Commercial
commercial vent cleaning	50	Medium			∞	T	Air Duct Cleaning	Batch 3 - New Commercial
permanent outdoor led strip lights	50	High			∞	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor led christmas lights	50	Unknown			-100%	T	Holiday Lighting	Batch 3 - New Commercial
govee rgbic permanent outdoor lights	50	High			0%	N	Permanent Lighting	Batch 3 - New Commercial
rgbic led permanent outdoor lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
govee permanent lights	50	Medium			0%	N	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor led lights	50	High			0%	T	Permanent Lighting	Batch 3 - New Commercial
outdoor christmas lights permanent	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
apartment vent cleaning	50	Unknown			0%	T	Air Duct Cleaning	Batch 3 - New Commercial
professional dryer vent cleaning near me	50	Unknown			0%	T/L	Dryer Vent Cleaning	Batch 3 - New Commercial
govee outdoor lights permanent	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
best permanent outdoor christmas lights	50	High			0%	I	Holiday Lighting	Batch 3 - New Commercial
commercial vent cleaning near me	50	Unknown			0%	T/L	Air Duct Cleaning	Batch 3 - New Commercial
outdoor permanent christmas lights	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
best commercial hot water pressure washer	50	High			∞	I	Industrial	Batch 3 - New Commercial
permanent exterior lighting	50	High			0%	T	Permanent Lighting	Batch 3 - New Commercial
govee smart rgbic permanent outdoor lights	50	Unknown			-100%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights review	50	Unknown			0%	I	Permanent Lighting	Batch 3 - New Commercial
commercial dryer vent cleaning near me	50	Unknown			0%	T/L	Dryer Vent Cleaning	Batch 3 - New Commercial
permanent outdoor house lights	50	High	0.51	2.09	0%	T	Permanent Lighting	Batch 3 - New Commercial
commercial hot pressure washer	50	Unknown			0%	T	Industrial	Batch 3 - New Commercial
commercial dryer duct cleaning	50	Unknown			0%	T	Air Duct Cleaning	Batch 3 - New Commercial
permanent soffit lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
commercial electric hot water pressure washer	50	Unknown			0%	T	Industrial	Batch 3 - New Commercial
govee h705a	50	Unknown			0%	N		Batch 3 - New Commercial
laundromat dryer vent cleaning	50	Unknown			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
govee permanent outdoor lights 100ft	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor string lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
professional dryer duct cleaning	50	High			0%	T	Air Duct Cleaning	Batch 3 - New Commercial
permanent exterior christmas lights	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
govee permanent outdoor christmas lights	50	Unknown			0%	N	Holiday Lighting	Batch 3 - New Commercial
outdoor permanent led lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor lights by govee	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights christmas	50	Unknown			0%	N	Holiday Lighting	Batch 3 - New Commercial
led permanent outdoor lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
govee permanent christmas lights	50	Low			∞	N	Holiday Lighting	Batch 3 - New Commercial
commercial heated pressure washer	50	Unknown			-100%	T	Industrial	Batch 3 - New Commercial
permanent outdoor lights on house	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights extension	50	High			∞	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights installation	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
professional dryer cleaner	50	Unknown			-100%	T		Batch 3 - New Commercial
permanent outdoor color changing lights	50	High			∞	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor lighting near me	50	Unknown			0%	T/L	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor led holiday lights	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
permanent outdoor decorative lights	50	High			0%	T	Permanent Lighting	Batch 3 - New Commercial
outdoor year round lights	50	High			∞	T		Batch 3 - New Commercial
professional dryer cleaning	50	Unknown			0%	T		Batch 3 - New Commercial
dryer vent cleaning commercial	50	Low			∞	T	Dryer Vent Cleaning	Batch 3 - New Commercial
permanent exterior house lighting	50	Low			∞	T	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights rgbic	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
commercial hot water pressure washer for sale	50	Unknown			0%	T	Industrial	Batch 3 - New Commercial
permanent led outdoor lights	50	High			∞	T	Permanent Lighting	Batch 3 - New Commercial
govee christmas lights permanent	50	Unknown			0%	N	Holiday Lighting	Batch 3 - New Commercial
commercial dryer vent	50	High			∞	T	Dryer Vent Cleaning	Batch 3 - New Commercial
best permanent outdoor lights	50	High	0.65	1.90	0%	I	Permanent Lighting	Batch 3 - New Commercial
year round outdoor christmas lights	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
exterior permanent lighting	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
dryer vent professionals	50	Low			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
professional dryer vent cleaning cost	50	Unknown			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
trailer mounted hot water commercial pressure washer	50	Unknown			0%	T	Industrial	Batch 3 - New Commercial
permanent under eave lighting	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent christmas lights govee	50	Unknown			0%	N	Holiday Lighting	Batch 3 - New Commercial
year round led house lights	50	Unknown			0%	T		Batch 3 - New Commercial
year round exterior holiday lights	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
go beach permanent outdoor lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent exterior holiday lights	50	Medium			0%	T	Holiday Lighting	Batch 3 - New Commercial
year round outdoor led lights	50	Unknown			0%	T		Batch 3 - New Commercial
permanent christmas lights on house	50	Unknown			-100%	T	Holiday Lighting	Batch 3 - New Commercial
apartment air vent cleaning	50	Unknown			0%	T	Air Duct Cleaning	Batch 3 - New Commercial
govee permanent outdoor lights amazon	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
year round outdoor holiday lights	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
hot water pressure washer commercial	50	High			∞	T	Industrial	Batch 3 - New Commercial
best outdoor permanent christmas lights	50	Unknown			0%	I	Holiday Lighting	Batch 3 - New Commercial
govee permanent outdoor	50	Unknown			0%	N		Batch 3 - New Commercial
professional dryer vent installation	50	Unknown			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
permanent soffit christmas lights	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
permanent led outdoor christmas lights	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
rgbic permanent outdoor lights	50	High			∞	T	Permanent Lighting	Batch 3 - New Commercial
outdoor permanent holiday lights	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
govee outdoor permanent light	50	High			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee h705a outdoor lights	50	Unknown			0%	N		Batch 3 - New Commercial
led govee permanent outdoor lights	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
permanent led outdoor lighting systems	50	Low			∞	T	Permanent Lighting	Batch 3 - New Commercial
apartment dryer vent	50	Unknown			-100%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
govee permanent outdoor holiday lights	50	Unknown			0%	N	Holiday Lighting	Batch 3 - New Commercial
commercial dryer vent installation	50	Unknown			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
permanent outdoor house led lights	50	High			0%	T	Permanent Lighting	Batch 3 - New Commercial
commercial hot water power washer	50	Unknown			0%	T	Industrial	Batch 3 - New Commercial
govee permanent lights outdoor	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
dryer vent business	50	Unknown			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
govee permanent	50	Unknown			0%	N		Batch 3 - New Commercial
outdoor year round christmas lights	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
commercial dryer vent cleaning cost	50	Unknown			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
permanent exterior led lighting	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent led christmas lights outdoor	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
strip lights govee permanent outdoor lights	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
commercial hot water pressure washer trailer	50	Unknown			0%	T	Industrial	Batch 3 - New Commercial
professional hot water pressure washer	50	Unknown			0%	T	Pressure Washing	Batch 3 - New Commercial
permanent outdoor lights near me	50	Unknown			0%	T/L	Permanent Lighting	Batch 3 - New Commercial
permanent eave lighting	50	High	0.48	2.93	∞	T	Permanent Lighting	Batch 3 - New Commercial
permanent exterior led lights	50	High			∞	T	Permanent Lighting	Batch 3 - New Commercial
govee permanent light	50	Medium			0%	N	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor led light strips	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
new govee permanent outdoor lights	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
commercial pressure washer with heater	50	Unknown			-100%	T	Industrial	Batch 3 - New Commercial
govee lights permanent outdoor lights	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor trim lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
govee rgbic led permanent outdoor lights for sale	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee rgbic led permanent	50	Unknown			0%	N		Batch 3 - New Commercial
govee rgbic led permanent outdoor	50	Unknown			0%	N		Batch 3 - New Commercial
best outdoor permanent lights	50	High			0%	I	Permanent Lighting	Batch 3 - New Commercial
air duct cleaning conway ar	50	High			0%	T/L	Air Duct Cleaning	Batch 3 - New Commercial
permanent lights outdoor	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
best permanent outdoor lighting	50	High	0.65	1.90	0%	I	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor christmas lights govee	50	Unknown			0%	N	Holiday Lighting	Batch 3 - New Commercial
govee permanent lighting	50	Medium			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights holiday	50	Unknown			0%	N	Holiday Lighting	Batch 3 - New Commercial
professional dryer vent cleaning system	50	Unknown			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
permanent govee outdoor lights	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee lights outdoor permanent	50	Unknown			-100%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights for sale	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
permanent string lights	50	High			∞	T	Permanent Lighting	Batch 3 - New Commercial
under eave led christmas lights	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
permanent outdoor led string lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
govee led permanent outdoor lights	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor tree lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor fairy lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
outdoor led permanent lights	50	Unknown			-100%	T	Permanent Lighting	Batch 3 - New Commercial
h705a govee	50	Unknown			0%	N		Batch 3 - New Commercial
go v permanent outdoor lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
air duct cleaning rogers ar	50	Unknown			-100%	T	Air Duct Cleaning	Batch 3 - New Commercial
air duct cleaning fayetteville ar	50	High	5.24	24.81	0%	T	Air Duct Cleaning	Batch 3 - New Commercial
govee permanent holiday lights	50	Low			∞	N	Holiday Lighting	Batch 3 - New Commercial
permanent outdoor strip lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent christmas outdoor lights	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
govee lights permanent outdoor	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
permanent xmas lights outdoor	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor xmas lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent festoon lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor smart lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights h705a	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor soffit lighting	50	High			∞	T	Permanent Lighting	Batch 3 - New Commercial
christmas lights outdoor permanent	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
amazon govee permanent outdoor lights	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
led outdoor permanent lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
govee rgbic led permanent outdoor lights 100ft	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
outdoor permanent lights govee	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor rope lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
rgbic outdoor permanent lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
buy govee permanent outdoor lights	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee outdoor permanent	50	Unknown			0%	N		Batch 3 - New Commercial
govee rgbic led permanent outdoor light	50	Unknown			-100%	N	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor lights for house	50	Medium			0%	T	Permanent Lighting	Batch 3 - New Commercial
outdoor lights permanent	50	High	0.29	1.60	0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent lights govee	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor lighting govee	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
best permanent outdoor holiday lights	50	Unknown			0%	I	Holiday Lighting	Batch 3 - New Commercial
permanent outdoor rgbic lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
govee outdoor permanent lights review	50	Unknown			0%	I	Permanent Lighting	Batch 3 - New Commercial
duct cleaning fayetteville ar	50	High			0%	T	Air Duct Cleaning	Batch 3 - New Commercial
permanent outdoor lights with app	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor led	50	High			0%	T		Batch 3 - New Commercial
permanent outdoor rgb lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor lights rgbic	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
air duct cleaning northwest arkansas	50	High			0%	T/L	Air Duct Cleaning	Batch 3 - New Commercial
aootek 182 led solar motion sensor light	50	Unknown			0%	T		Batch 3 - New Commercial
apartment dryer exhaust	50	Unknown			-100%	T		Batch 3 - New Commercial
apartment dryer vent clogged	50	Unknown			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
best permanent outdoor led lights	50	Unknown			0%	I	Permanent Lighting	Batch 3 - New Commercial
clean dryer vent apartment	50	Unknown			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
commercial dryer duct	50	High			∞	T	Air Duct Cleaning	Batch 3 - New Commercial
commercial dryer exhaust	50	Unknown			0%	T		Batch 3 - New Commercial
commercial dryer exhaust system	50	Unknown			0%	T		Batch 3 - New Commercial
commercial dryer vent pipe	50	Unknown			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
dryer vents in apartment buildings	50	Unknown			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
duct cleaning rogers ar	50	Medium			0%	T	Air Duct Cleaning	Batch 3 - New Commercial
ebay govee permanent outdoor lights	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee lights permanent	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee model h705a	50	Unknown			0%	N		Batch 3 - New Commercial
govee outdoor lights h705a	50	Unknown			0%	N		Batch 3 - New Commercial
govee outdoor permanent christmas lights	50	Unknown			0%	N	Holiday Lighting	Batch 3 - New Commercial
govee outdoor permanent lights 100ft	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee outdoor permanent lights rgbic	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee outdoor soffit lights	50	Unknown			0%	N		Batch 3 - New Commercial
govee permanent christmas outdoor lights	50	Unknown			0%	N	Holiday Lighting	Batch 3 - New Commercial
govee permanent house lights	50	Low			∞	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent led lights	50	Unknown			-100%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor house lights	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor led lights	50	Low			∞	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights 100 ft	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights 50ft	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights ebay	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights for holidays	50	Unknown			0%	N	Holiday Lighting	Batch 3 - New Commercial
govee permanent outdoor lights home depot	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights nearby	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights price	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights reddit	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights restock	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights reviews	50	Unknown			0%	I	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights smart rgbic	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights smart rgbic outdoor	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee permanent outdoor lights smart rgbic outdoor lights	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee rgbic led permanent outdoor lights amazon	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee rgbic outdoor permanent lights	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
govee rgbic permanent	50	Unknown			0%	N		Batch 3 - New Commercial
govee rgbic permanent outdoor light	50	High			0%	N	Permanent Lighting	Batch 3 - New Commercial
groove outdoor permanent lights	50	High			0%	T	Permanent Lighting	Batch 3 - New Commercial
h705a govee lights	50	Unknown			0%	N		Batch 3 - New Commercial
h705a lights	50	Unknown			0%	T		Batch 3 - New Commercial
h705a1d1	50	Unknown			0%	T		Batch 3 - New Commercial
heavy duty hot water pressure washer	50	Low			∞	T	Pressure Washing	Batch 3 - New Commercial
industrial dryer vent	50	Unknown			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
industrial dryer vent cleaning	50	Unknown			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
install govee permanent outdoor lights	50	Unknown			-100%	N	Permanent Lighting	Batch 3 - New Commercial
installing govee permanent outdoor lights	50	Unknown			-100%	N	Permanent Lighting	Batch 3 - New Commercial
kobe permanent outdoor lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
led permanent outdoor christmas lights	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
outdoor govee permanent lights	50	Unknown			-100%	N	Permanent Lighting	Batch 3 - New Commercial
outdoor year round led lights	50	Unknown			0%	T		Batch 3 - New Commercial
permanent out door lights	50	High	0.29	1.60	0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor accent lighting	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor christmas light	50	Medium			0%	T	Holiday Lighting	Batch 3 - New Commercial
permanent outdoor govee lights	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor led strip lights diy	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor light govee	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor lights amazon	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor lights by go beach	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor lights christmas	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
permanent outdoor lights holiday	50	Unknown			0%	T	Holiday Lighting	Batch 3 - New Commercial
permanent outdoor lights led	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor lights smart rgbic outdoor lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent outdoor soffit lights	50	High			∞	T	Permanent Lighting	Batch 3 - New Commercial
permanent rgbic outdoor lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
permanent solar lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
professional dryer vent cleaning company	50	Unknown			0%	T	Dryer Vent Cleaning	Batch 3 - New Commercial
smart permanent outdoor lights	50	Unknown			0%	T	Permanent Lighting	Batch 3 - New Commercial
the govee outdoor permanent lights	50	Unknown			0%	N	Permanent Lighting	Batch 3 - New Commercial
soft washing near me	50	Low			0%	T/L	Soft Washing	Batch 4 - Head Terms
roof cleaning near me	50	Low	3.22	15.56	900%	T/L	Roof Cleaning	Batch 4 - Head Terms
parking lot maintenance	50	Low			0%	T	Parking Lot Services	Batch 4 - Head Terms
commercial pressure washing	50	High	0.82	2.93	0%	T	Industrial	Batch 4 - Head Terms
fleet washing near me	50	Unknown			-100%	T/L	Fleet Washing	Batch 4 - Head Terms
construction cleanup near me	50	Unknown			0%	T/L	Construction Cleanup	Batch 4 - Head Terms
house washing near me	50	Low	1.70	7.61	900%	T/L	Soft Washing	Batch 4 - Head Terms
house power washing near me	50	Medium	0.71	5.16	0%	T/L	Pressure Washing	Batch 4 - Head Terms
$99 gutter cleaning near me	50	Unknown			-100%	T/L	Gutter Services	Batch 4 - Head Terms
gutter cleaning services near me	50	Low			0%	T/L	Gutter Services	Batch 4 - Head Terms
power washing services near me	50	Medium	3.17	7.25	0%	T/L	Pressure Washing	Batch 4 - Head Terms
gutter guys near me	50	High			∞	T/L	Gutter Services	Batch 4 - Head Terms
pressure washing companies near me	50	Low	2.10	12.09	0%	T/L	Pressure Washing	Batch 4 - Head Terms
home power washing near me	50	Unknown			-100%	T/L	Pressure Washing	Batch 4 - Head Terms
